track_id,track_title,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
21,"We Are Never Ever Getting Back Together (Taylor's Version)","Red (Taylor's Version)","Taylor Swift",2021-11-12,193146,73,0.567,0.0317,0.686,0.00000186,0.0732,-6.139,0.175,172.014,4
22,"Last Kiss","Speak Now (Deluxe Package)","Taylor Swift",2010-01-01,367146,55,0.359,0.581,0.329,0.0000375,0.0979,-9.531,0.0293,84.358,3
23,"Long Live","Speak Now (Deluxe Package)","Taylor Swift",2010-01-01,317960,53,0.412,0.0426,0.682,0.0000747,0.106,-4.319,0.0339,203.959,4
24,"Stay Stay Stay (Taylor's Version)","Red (Taylor's Version)","Taylor Swift",2021-11-12,205786,67,0.693,0.0848,0.681,0,0.0768,-7.039,0.025,100.02,4
25,"The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor's Version)","Red (Taylor's Version)","Taylor Swift",2021-11-12,299080,68,0.502,0.0399,0.534,0,0.0977,-5.954,0.0278,94.05,4
26,"this is me trying",folklore,"Taylor Swift",2020-07-24,195097,72,0.515,0.314,0.476,0.0000474,0.171,-9.843,0.0328,135.886,4
27,"illicit affairs",folklore,"Taylor Swift",2020-07-24,190898,71,0.559,0.881,0.31,0,0.106,-10.445,0.0338,119.845,4
28,"invisible string",folklore,"Taylor Swift",2020-07-24,252880,70,0.653,0.838,0.452,0.0000773,0.108,-11.143,0.055,83.433,4
29,"Sad Beautiful Tragic (Taylor's Version)","Red (Taylor's Version)","Taylor Swift",2021-11-12,284773,66,0.601,0.622,0.406,0.0000919,0.133,-11.827,0.0275,130.059,3
30,"mad woman",folklore,"Taylor Swift",2020-07-24,237258,65,0.592,0.655,0.699,0.0000168,0.114,-8.995,0.0471,141.916,4
31,"The Lucky One (Taylor's Version)","Red (Taylor's Version)","Taylor Swift",2021-11-12,240466,66,0.686,0.066,0.571,0,0.0608,-7.138,0.05,117.889,4
32,epiphany,folklore,"Taylor Swift",2020-07-24,289749,64,0.354,0.731,0.267,0.000402,0.0858,-13.69,0.0281,94.219,4
33,Ours,"Speak Now (Deluxe Package)","Taylor Swift",2010-01-01,238173,56,0.61,0.505,0.556,0,0.0851,-7.369,0.0285,159.838,4
34,betty,folklore,"Taylor Swift",2020-07-24,294521,71,0.593,0.6,0.377,0,0.0976,-8.761,0.0253,95.939,4
35,peace,folklore,"Taylor Swift",2020-07-24,234000,65,0.647,0.918,0.272,0.0000173,0.0918,-12.906,0.0916,150.044,4
36,hoax,folklore,"Taylor Swift",2020-07-24,220042,65,0.662,0.966,0.181,0.00000386,0.133,-15.065,0.0415,118.819,4
37,"Everything Has Changed (feat. Ed Sheeran) (Taylor's Version)","Red (Taylor's Version)","Taylor Swift",2021-11-12,245426,70,0.498,0.271,0.61,0,0.223,-5.098,0.0363,79.918,4
38,"I Forgot That You Existed",Lover,"Taylor Swift",2019-08-23,170640,72,0.664,0.298,0.316,0.00000203,0.0812,-10.345,0.519,92.875,4
39,"Starlight (Taylor's Version)","Red (Taylor's Version)","Taylor Swift",2021-11-12,220413,65,0.628,0.00324,0.685,0,0.18,-5.864,0.0358,126.014,4
40,"Begin Again (Taylor's Version)","Red (Taylor's Version)","Taylor Swift",2021-11-12,238866,67,0.519,0.075,0.527,0,0.132,-7.673,0.0274,78.915,4
41,"Cruel Summer",Lover,"Taylor Swift",2019-08-23,178426,84,0.552,0.117,0.702,0.0000206,0.105,-5.707,0.157,169.994,4
42,"The Moment I Knew (Taylor's Version)","Red (Taylor's Version)","Taylor Swift",2021-11-12,285280,65,0.636,0.0494,0.402,0,0.107,-7.855,0.031,125.952,4
